sector,ticker,company,market_cap,exchange,industry,sic_description,sentiment_score,short_pct_float,from_52w_high_pct,from_52w_low_pct,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,volume_vs_20d,dollar_volume_20d_polygon,yf_forward_pe,yf_trailing_pe,yf_price_to_book,yf_peg_ratio,yf_dividend_yield,value_grade,growth_grade,momentum_grade,dolt_value_score,production_factor_score,production_factor_basket,production_theme,primary_keyword_factor,primary_keyword_factor_score,keyword_factor_baskets,quant_factor_score,ret_1w_pct,ret_1m_pct,ret_3m_pct,ret_6m_pct,ret_ytd_pct,ts0,four_h_timestamp,four_h_close,latest_daily_ts,latest_daily_timestamp,latest_daily_close,display_close,price_source,rsi0,rsi1,rsi2,rsi3,rsi4,rsi5,rsi_delta_1,prior_delta_3_avg,rsi_accel,inflection_flag,dolt_value_norm,grade_value_norm,warehouse_value_score,forward_pe_score,trailing_pe_score,pb_score,peg_score,composite_value_score,sector_ret_1m_median,sector_ret_3m_median,peer_lag_1m_pct,peer_lag_3m_pct,rsi_accel_pct,rsi_delta_pct,ret_1w_rank,ret_1m_rank,ret_3m_rank,ret_6m_rank,volume_rank,sector_strength_score,sector_strength_3m_score,peer_lag_score,peer_rally_laggard_flag,price_position_52w,accumulation_location_score,markup_location_score,breakout_location_score,distribution_risk_score,sma_proximity_score,trend_alignment_score,rsi_zone_inflection_score,grind_bonus,rsi_acceleration_score,rsi_value_score,short_score,near_low_score,oversold_not_broken_score,squeeze_laggard_score,value_laggard_score,rsi_leader_zone_score,momentum_leader_score,momentum_leader_eligible,pullback_depth,pullback_score,pullback_presence_score,rsi_cool_score,momentum_pullback_score,mom_pullback_eligible,rel_strength_core_score,rs_pullback_depth,rs_pullback_entry_score,rs_rsi_reset_score,rel_strength_pullback_score,rs_pullback_eligible,rsi_zone_score,st_mom_score,inflect_breakout_score,inflect_breakout_eligible,wave_accumulation_score,wave_pullback_score,wave_markup_score,wave_breakout_score,wave_stage_margin,wave_setup_score,wave_stage,opportunity_score,sleeve_rank_agreement,upside_potential,downside_risk,rr_ratio,rr_score,factor_align_score,ev_score,ev_master_eligible,primary_strategy,rank_in_sector,global_rank,is_top_inflection,diversified_top10,warehouse_display_close,latest_polygon_price,latest_polygon_price_source,latest_polygon_price_timestamp,latest_polygon_price_status
Financials,OWL,Blue Owl Capital Inc.,6845878443.690001,XNYS,Asset Management,INVESTMENT ADVICE,-0.6000000000000001,20.575866603187166,-59.77229601518026,6.666666666666665,-10.634308926153512,-11.853541268569323,-33.822848856940105,0.0020203243363758794,,9.582422,78.5,3.0318635,0.14,9.39,,,,,3.1378994598917407,Broken Momentum / Avoid,Semiconductors,Financials / Credit,13.124809845697166,"Financials / Credit, AI Infrastructure, Energy Transition, Semiconductors, Crypto / Digital Assets",3.5400401606425707,-10.64278187565858,-16.039603960396033,-6.0908084163898035,-46.59949622166247,-44.611365120836055,1782475200000,2026-06-26 08:00:00-04:00,8.48,1782417600000,2026-06-25 16:00:00-04:00,8.48,8.65,polygon.snapshot.min.c,29.74374121380241,29.954373435487014,33.73170112005474,35.70518238545799,46.337101102620444,46.037818794504965,-0.21063222168460527,-5.46090922237781,5.250277000693205,0,,,50.0,74.52229299363057,8.365019011406844,38.92215568862275,98.48484848484848,50.6478918776545,6.456307556617258,14.183958770419547,22.49591151701329,20.27476718680935,76.50429799426934,44.412607449856736,9.455587392550143,14.899713467048711,25.57471264367816,2.586206896551724,2.5787965616045847,82.6647564469914,82.6647564469914,92.15150841484702,1,10.034272658035032,64.1028179741051,0.0,0.0,0.0,20.35816618911175,9.828080229226362,56.25434600554795,3.9905210913552747,61.35180006947789,56.85615862891206,97.13467048710602,87.96561604584527,71.81060479174555,91.64923473731768,70.27056384136155,15.231223641407226,10.081638885285507,False,10.64278187565858,90.54441260744986,100.0,47.9799718841677,46.673148631814605,False,25.829410796034647,10.64278187565858,90.54441260744986,54.231223641407226,49.72078931855768,False,25.579971884167705,9.455587392550143,37.22450586502473,False,62.03522097104628,42.94660997469852,18.2024945101162,24.38054879122114,19.08861099634776,56.69040989206891,Wave 1 / accumulation,91.64923473731768,58.69149952244508,59.77229601518026,6.666666666666665,8.96584440227704,95.12893982808023,8.882521489971346,71.86472021918821,True,shorted near lows / peer lag,1,1,False,True,8.48,8.65,snapshot.min.c,1782517320000,OK
Information Technology,CTSH,Cognizant Technology Solutions,25471050000.0,XNAS,Information Technology Services,SERVICES-COMPUTER PROGRAMMING SERVICES,0.2,12.728958985200844,-54.9580604389291,0.5901975878881194,-18.308207127332953,-20.963693650394035,-38.28197052383252,1.2828827886151104,,8.594139,11.494577,1.6669289,0.87,2.48,,,,,2.67531351651747,Oversold / Mean-Reversion Watch,Semiconductors,Healthcare / Biotech,21.375894747969898,"Healthcare / Biotech, Energy Transition, Cloud Software, Semiconductors, Oil & Gas",3.210461847389558,-10.297482837528605,-26.26034612490593,-35.48387096774193,-53.97980746654144,-51.77165354330708,1782475200000,2026-06-26 08:00:00-04:00,39.2,1782432000000,2026-06-25 20:00:00-04:00,39.2,40.25,polygon.snapshot.min.c,22.857114492770478,26.653140296065203,19.140202658767862,15.486792979890538,17.594174619270703,30.05662812635873,-3.796025803294725,3.0196552255981666,-6.815681028892891,0,,,50.0,83.75796178343948,85.17110266159696,68.26347305389221,77.46212121212122,67.82778286378931,-6.9961489088575135,12.615336747499228,19.264197216048416,48.09920771524116,17.478510028653297,26.074498567335244,10.888252148997134,5.730659025787966,1.1494252873563218,1.4367816091954022,80.51575931232092,17.478510028653297,67.3352435530086,94.87077199222738,0,1.0624952228082252,37.18748566842467,0.0,0.0,0.0,7.607449856733524,3.3237822349570205,33.52847782614258,0.0,29.61633875892922,45.66514528297046,88.82521489971347,98.567335243553,55.9713633333721,88.64062594240087,76.34756595552622,0.0,9.313649836972631,False,10.297482837528605,89.11174785100286,100.0,25.94276637686552,47.94232854807116,False,13.980248987254225,10.297482837528605,89.11174785100286,33.571343478311434,31.091954691054106,False,3.5427663768655293,10.888252148997134,23.15216723891552,False,51.9034962204661,33.32399824312093,15.795859845865035,22.63055535767596,18.57949797734517,46.70123678680945,Wave 1 / accumulation,88.64062594240087,47.85100286532951,54.9580604389291,5.0,10.0,98.42406876790831,0.8595988538681948,67.72192681623,True,shorted near lows / peer lag,1,2,False,True,39.2,40.25,snapshot.min.c,1782517620000,OK
Information Technology,PCOR,"Procore Technologies, Inc.",7073733326.08,XNYS,Software - Application,SERVICES-PREPACKAGED SOFTWARE,0.8,7.6217791351031,-53.471420761708075,0.7099658164606781,-13.738761155900603,-21.151909943350656,-37.42734954285866,3.0118646604460104,,22.360783,,5.9537864,,,,,,,2.700296097957315,Oversold / Mean-Reversion Watch,AI Infrastructure,AI Infrastructure,22.450679247717922,"AI Infrastructure, Housing / Real Estate, Cloud Software, Commodities / Materials, Industrial Automation",3.247570281124498,-4.488778054862852,-19.47014297729185,-31.53378619949947,-49.035262807717906,-45.31696173615079,1782460800000,2026-06-26 04:00:00-04:00,38.3,1782417600000,2026-06-25 16:00:00-04:00,38.3,41.7707,polygon.snapshot.min.c,31.379808409904413,33.21444858299978,31.66993506699133,33.33265256687851,29.632505496038377,32.24657445664141,-1.8346401730953659,1.1939810289871342,-3.0286212020825003,0,,,50.0,22.29299363057325,50.0,16.46706586826347,50.0,38.04330828788283,-6.9961489088575135,12.615336747499228,12.473994068434337,44.1491229469987,39.541547277936964,35.816618911174785,20.916905444126076,10.315186246418339,2.586206896551724,2.2988505747126435,99.8567335243553,17.478510028653297,67.3352435530086,89.43981984652373,0,1.3103500321764445,37.93105009652933,0.0,0.0,0.0,8.237822349570202,3.8681948424068766,61.65336775268457,0.0,47.21735876960607,43.36425756728231,71.63323782234957,97.70773638968481,75.57355934278016,84.72122231770523,64.27481464043343,20.13942522971324,13.534481752790656,False,4.488778054862852,79.08309455587393,77.44389027431426,53.21538691169412,47.932017966755616,False,17.05554457728156,4.488778054862852,79.08309455587393,59.13942522971324,33.82482302654447,False,30.81538691169412,20.916905444126076,39.50900432104674,False,58.40053286621222,37.471052445795735,20.051414820768386,34.928898294633775,20.929480420416482,52.540278348495605,Wave 1 / accumulation,84.72122231770523,47.08691499522445,53.471420761708075,5.0,10.0,98.42406876790831,1.4326647564469914,66.24507346544706,True,shorted near lows / peer lag,2,3,False,False,38.3,41.7707,snapshot.min.c,1782516780000,OK
Financials,TPG,TPG Inc. Class A Common Stock,6747343714.849999,XNAS,Asset Management,INVESTMENT ADVICE,0.4,6.079706447993209,-43.1086956521739,8.36292286874154,-7.786056032943733,-9.488096072521657,-25.456671690420052,1.7359382694693297,,11.576513,179.13043,5.5518126,,5.44,,,,,3.720135354076054,Broken Momentum / Avoid,AI Infrastructure,Financials / Credit,13.492534625822483,"Financials / Credit, Macro Rates / Inflation, AI Infrastructure",3.827630522088353,-4.779785969084416,-3.7728911319394265,-0.5955809334657336,-38.76724269766019,-39.10250950570342,1782504000000,2026-06-26 16:00:00-04:00,40.0401,1782432000000,2026-06-25 20:00:00-04:00,40.0401,40.0401,polygon.snapshot.min.c,44.617887116568035,30.561744523682364,31.639279263062335,40.46343485268255,49.723767747417014,46.53452127776011,14.05614259288567,-6.387341074578217,20.443483667463887,1,,,50.0,60.50955414012739,3.802281368821293,18.862275449101798,50.0,41.02707205772031,6.456307556617258,14.183958770419547,10.229198688556684,14.77953970388528,99.14040114613181,94.55587392550143,20.34383954154728,37.53581661891118,36.7816091954023,6.896551724137931,95.70200573065902,82.6647564469914,82.6647564469914,80.71221552547509,1,16.24763920206487,82.74291760619461,8.495278404129749,0.0,0.0,28.08022922636103,15.071633237822349,94.66097251532548,12.0,100.0,75.23137026424251,59.31232091690544,84.5272206303725,93.97885963189353,84.70185131575661,67.04569032484261,59.853661349704105,28.865428828800916,False,4.779785969084416,79.65616045845272,78.89892984542207,95.57723877301771,60.08886363717899,False,42.4969140071798,4.779785969084416,79.65616045845272,98.85366134970411,60.84720260641404,False,73.1772387730177,20.34383954154728,72.17253318895644,True,88.70995762192797,58.79824937091822,39.54495557678107,57.37801848070911,29.91170825100975,80.33467931164523,Wave 1 / accumulation,84.70185131575661,91.3562559694365,43.1086956521739,8.36292286874154,5.154740313736856,88.53868194842407,20.630372492836678,77.71393831390546,True,shorted near lows / peer lag,2,4,True,False,40.0401,40.0401,snapshot.min.c,1782505620000,OK
Financials,FAF,First American Financial Corporation,6781445000.0,XNYS,Insurance - Specialty,TITLE INSURANCE,0.0,4.851893032384691,-6.226388694557161,26.238462987379908,1.0137347887021697,-0.24718229068720898,4.229129072014093,1.7417628187907048,,8.973568,10.026154,1.2120818,2.98,3.28,,,,,5.802505891571718,Neutral / Transition,,,,,6.200401606425702,-2.345912866093547,-0.7552199022656692,12.752355316285335,9.995076317085182,9.724950884086446,1782489600000,2026-06-26 12:00:00-04:00,67.02,1782432000000,2026-06-25 20:00:00-04:00,67.02,67.02,polygon.snapshot.min.c,48.52900654547065,36.5945011436882,46.41755444335358,61.75629965290947,56.1233288161176,62.46815945133444,11.934505401782452,-6.509609224143134,18.444114625925586,1,,,50.0,80.5732484076433,88.97338403041825,85.32934131736526,27.083333333333332,67.64288757074502,6.456307556617258,14.183958770419547,7.211527458882927,1.431603454134212,97.70773638968481,91.69054441260745,28.939828080229226,47.56446991404012,62.35632183908046,56.03448275862069,95.98853868194843,82.6647564469914,82.6647564469914,67.27624905312388,1,80.82113925682455,0.0,62.3577214863509,93.79349363498599,10.478050662284193,90.50143266475645,50.702005730659025,81.75427839994686,12.0,95.36333458190448,83.7207468372175,46.13180515759312,56.73352435530086,84.98328494541751,61.307699274767685,68.90299704837028,71.58701963641195,61.396141770584826,False,2.345912866093547,71.06017191977077,66.72956433046774,91.90717905449392,75.01608203280867,True,67.02529723676844,2.345912866093547,71.06017191977077,89.41298036358805,77.38177647759272,True,85.69282094550609,28.939828080229226,83.572816532333,True,44.78639238473114,80.49277123370103,68.23798960633539,82.33310903157692,1.8403377978758897,77.81781444817167,Mixed / transition,83.7207468372175,94.31709646609359,6.226388694557161,26.238462987379908,0.23730005441065316,34.67048710601719,49.570200573065904,68.98468737201371,True,RSI inflection + value,3,5,True,True,67.02,67.02,snapshot.min.c,1782503940000,OK
Consumer Staples,CELH,"Celsius Holdings, Inc. Common Stock",8492372759.2,XNAS,Beverages - Non-Alcoholic,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,0.4,12.342158726423323,-57.92628109080012,2.2206042955951855,-3.5223510031939242,-8.238219969185456,-35.739412662257664,0.005645230790180676,,13.789299,65.11628,5.74359,0.3,,,,,,3.1402799364955616,Broken Momentum / Avoid,Semiconductors,Energy Transition,13.985011110920277,"Energy Transition, Semiconductors, Oil & Gas, Healthcare / Biotech",3.618714859437751,-8.831168831168835,-11.279620853080575,-21.101432986794055,-37.05447209145931,-41.19371727748692,1782475200000,2026-06-26 08:00:00-04:00,28.08,1782432000000,2026-06-25 20:00:00-04:00,28.08,29.775,polygon.snapshot.min.c,38.24941349202461,42.08434120823929,38.07004463828291,42.822875302744,63.12733178322187,62.694533331324735,-3.834927716214679,-7.014330191660861,3.1794024754461816,0,,,50.0,50.0,12.167300380228136,17.964071856287426,95.07575757575758,41.773493714265214,2.315906254333666,-1.76883935061789,13.595527107414242,19.332593636176163,68.48137535816619,25.787965616045845,12.607449856733524,19.484240687679083,8.045977011494253,8.045977011494253,9.169054441260744,66.4756446991404,27.22063037249284,87.19362381846327,0,3.6919688880473047,45.07590666414192,0.0,0.0,0.0,32.49283667621776,18.166189111747848,84.32306452368121,3.7630565941070833,56.91011692635982,50.552735177280084,87.10601719197707,95.41547277936962,91.3736510316566,83.39446091056283,65.96308116061081,40.748240476073825,11.550126998188663,False,8.831168831168835,87.39255014326648,99.15584415584418,75.19812317447875,51.773210867328004,False,20.114916180878044,8.831168831168835,87.39255014326648,79.74824047607382,50.63763605640102,False,52.79812317447875,12.607449856733524,41.40010385952226,False,54.511687230453816,50.795772042726696,17.240821998000897,28.095076642360922,3.71591518772712,49.47123097789023,Wave 1 / accumulation,83.39446091056283,60.55396370582617,57.92628109080012,5.0,10.0,98.42406876790831,9.169054441260744,70.30792760331973,True,shorted near lows / peer lag,1,6,False,False,28.08,29.775,snapshot.min.c,1782518040000,OK
Consumer Staples,PPC,Pilgrims Pride Corporation,6790292196.139999,XNAS,Packaged Foods,POULTRY SLAUGHTERING AND PROCESSING,0.4,2.251804090653413,-43.41376582278481,7.962264150943388,-3.7961427698752104,-8.264209727455485,-25.807476323539724,0.74335943316291,,7.728348,7.823056,1.8648942,0.61,,,,,,3.4476136616217024,Broken Momentum / Avoid,,Macro Rates / Inflation,5.098348879909077,Macro Rates / Inflation,3.87285140562249,4.721815519765737,-1.4128187456926233,-20.813728203708838,-27.916351725875533,-28.24178580386255,1782504000000,2026-06-26 16:00:00-04:00,28.61,1782432000000,2026-06-25 20:00:00-04:00,28.61,28.61,polygon.snapshot.min.c,58.401971633800585,35.64648369506388,41.93950736224758,43.57043314620613,32.53591982689939,33.35808998994098,22.755487938736707,1.0368546227214968,21.71863331601521,0,,,50.0,90.44585987261146,96.1977186311787,59.58083832335329,87.5,70.35324851133267,2.315906254333666,-1.76883935061789,3.7287250000262895,19.044888853090946,99.7134670487106,100.0,72.20630372492836,44.412607449856736,8.908045977011493,13.793103448275861,29.799426934097422,66.4756446991404,27.22063037249284,71.90651450778908,0,15.498013674888844,80.49404102466653,6.996027349777691,0.0,7.869692532942896,35.08595988538681,19.69914040114613,49.173493608458074,9.0,92.17570458522692,83.01027303419133,7.4498567335243555,85.10028653295129,62.275465242258655,48.313455360638606,76.06132456309913,98.79408509859825,20.2565041905391,False,0.0,30.37249283667622,31.390922401171313,60.313690771838125,31.714990270177193,False,24.36264532490202,0.0,30.37249283667622,59.794085098598245,38.35103292885497,False,82.71369077183813,72.20630372492836,66.61538544367586,True,79.26624460740666,37.61170080554402,25.491572173032846,48.27868685359807,30.987557753808595,70.58972843634025,Wave 1 / accumulation,83.01027303419133,55.77841451766954,43.41376582278481,7.962264150943388,5.452439783430326,89.11174785100286,15.472779369627506,67.59705305957918,True,RSI inflection + value,2,7,False,False,28.61,28.61,snapshot.min.c,1782504420000,OK
Communication Services,TTD,"The Trade Desk, Inc.",8701705762.11,XNAS,Advertising Agencies,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",-0.6000000000000001,16.258212433707385,-80.99507927829414,2.355712603062421,-10.071368077634979,-17.87838815806354,-46.7093920079076,0.007291516498761851,,9.041499,22.079546,3.7300825,0.95,,,,,,2.7712251181647045,Oversold / Mean-Reversion Watch,Industrial Automation,Industrial Automation,7.7010385653534605,Industrial Automation,3.3913253012048195,-6.104808211777435,-22.027815163750564,-20.055197792088318,-53.57905982905983,-53.87473460721869,1782475200000,2026-06-26 08:00:00-04:00,17.38,1782432000000,2026-06-25 20:00:00-04:00,17.38,18.2404,polygon.snapshot.min.c,28.932135974618063,30.885610402538504,33.784959320696515,32.22610265249102,36.903107486954106,32.830096729782,-1.9534744279204403,-2.0058323614718674,0.05235793355142704,0,,,50.0,79.29936305732484,48.669201520912544,32.035928143712574,74.24242424242425,55.64273142614619,-9.397303727200622,-3.067321736821138,12.630511436549941,16.98787605526718,53.58166189111748,34.67048710601719,16.9054441260745,9.169054441260744,10.344827586206897,1.7241379310344827,10.888252148997134,7.163323782234957,10.02865329512894,84.59733063267792,0,2.8262630142921696,42.478789042876514,0.0,0.0,0.0,12.492836676217765,6.404011461318052,53.57604871623961,1.0154820847882764,45.15346809610794,49.558958694724005,93.98280802292264,94.55587392550143,69.94391274162155,83.00981547466934,69.49567325425443,12.79640792385419,6.2135357739142645,False,6.104808211777435,83.0945558739255,85.52404105888718,45.3828351187778,40.75981407467209,False,7.389101867404407,6.104808211777435,83.0945558739255,51.79640792385419,29.634278850274278,False,22.9828351187778,16.9054441260745,22.596711645023962,False,50.403822093321416,33.11137080541161,5.580768457887803,15.74713873486538,17.292451287909806,45.56193573270667,Wave 1 / accumulation,83.00981547466934,44.269340974212035,80.99507927829414,5.0,10.0,98.42406876790831,2.865329512893983,65.15658727859845,True,shorted near lows / peer lag,1,8,False,False,17.38,18.2404,snapshot.min.c,1782517980000,OK
Financials,FNF,"Fidelity National Financial, Inc.",12938402947.8,XNYS,Insurance - Specialty,TITLE INSURANCE,0.8,3.128724166523441,-24.27018443874436,8.695652173913038,-1.7387616624258029,-5.073663165139863,-12.894163777393263,1.827791902359953,,7.861189,16.743773,1.7174666,0.85,4.39,,,,,4.029030531895725,Neutral / Transition,Financials / Credit,Financials / Credit,14.303464842038812,"Financials / Credit, Housing / Real Estate",4.117008032128514,-0.6834686031610415,-3.2660703141252356,1.196953210010876,-14.97531541415249,-14.333087693441415,1782504000000,2026-06-26 16:00:00-04:00,46.5,1782432000000,2026-06-25 20:00:00-04:00,46.5,46.5,polygon.snapshot.min.c,45.162681977790015,39.66706615466164,39.86135713673126,57.144579504282234,53.634994887181,41.54947498859799,5.495615823128375,-4.655976244173121,10.151592067301497,1,,,50.0,89.49044585987261,64.25855513307985,67.36526946107784,78.4090909090909,66.03663969954634,6.456307556617258,14.183958770419547,9.722377870742493,12.987005560408672,89.97134670487107,71.63323782234957,35.53008595988538,38.39541547277937,39.6551724137931,25.0,96.84813753581662,82.6647564469914,82.6647564469914,79.37868458320983,1,26.37776882803059,86.86669351590822,28.75553765606118,0.0,0.0,57.4785100286533,29.957020057306593,92.86314947329295,9.261871176167471,95.22551201747825,82.96618564394684,20.34383954154728,84.2406876790831,92.72583145108297,62.66426051559212,76.55180558144056,61.488045933370046,40.001582313164754,False,0.6834686031610415,64.46991404011462,58.41734301580521,97.32058232892805,61.67505083202789,False,49.678174093469025,0.6834686031610415,64.46991404011462,99.51195406662995,65.63543327686699,False,74.92058232892805,35.53008595988538,72.61983039598559,True,89.42934137592655,66.30604435160343,49.83650502408323,57.86416184790654,23.123297024323122,82.95481820911608,Wave 1 / accumulation,82.96618564394684,91.7860553963706,24.27018443874436,8.695652173913038,2.7910712104556032,79.36962750716333,25.501432664756447,75.65230060097835,True,RSI inflection + value,4,9,True,True,46.5,46.5,snapshot.min.c,1782504300000,OK
Consumer Discretionary,CHWY,"Chewy, Inc.",8744070608.039999,XNYS,Internet Retail,RETAIL-CATALOG & MAIL-ORDER HOUSES,0.2,6.827770854355261,-58.64507299270074,4.195402298850581,-4.582643176228451,-15.326711505055425,-35.614104609298536,1.3559552074527723,,10.2991085,38.75,16.805672,0.37,,C,A,D,5.0,2.9958600463257135,Broken Momentum / Avoid,Semiconductors,Consumer / Retail,19.959502355692727,"Consumer / Retail, Semiconductors, AI Infrastructure, Cloud Software, Energy Transition",3.7105020080321287,2.0821609454136247,-14.635294117647057,-31.727512231840414,-44.15024630541872,-45.834577485816666,1782475200000,2026-06-26 08:00:00-04:00,18.13,1782417600000,2026-06-25 16:00:00-04:00,18.14,18.55,polygon.snapshot.min.c,43.71802911172057,56.7451992421312,39.88729810578962,32.322604452773774,36.49057681076856,29.00151734754155,-13.027170130410632,6.751540810454213,-19.778710940864844,0,50.0,50.0,50.0,70.38216560509554,23.574144486692017,3.8922155688622753,93.18181818181819,46.374586318697936,1.496110113704363,10.517339397384863,16.131404231351418,42.24485162922528,0.5730659025787965,2.5787965616045847,54.154727793696274,16.332378223495702,2.2988505747126435,3.4482758620689653,83.95415472779369,47.277936962750715,55.587392550143264,92.96359878799855,0,6.676273976900742,54.02882193070222,0.0,0.0,3.4702682423560414,20.544412607449857,12.464183381088827,97.63050393132212,0.0,30.580957427928837,37.21428156205185,66.4756446991404,91.69054441260745,96.0485330430427,82.96228916373845,65.68114680011352,57.154087335161705,16.27762189979522,False,0.0,30.37249283667622,44.589195272931875,92.69769315750582,38.412580538417444,False,21.86974277904028,0.0,30.37249283667622,96.1540873351617,37.288688783257655,False,70.29769315750582,54.154727793696274,46.402503518602806,False,58.69173358109907,41.39583413368914,24.439798062079348,38.19680297076054,17.29589944740993,53.848881735824285,Wave 1 / accumulation,82.96228916373845,42.07258834765998,58.64507299270074,5.0,10.0,98.42406876790831,6.017191977077364,65.06354428276212,True,shorted near lows / peer lag,1,10,False,False,18.13,18.55,snapshot.min.c,1782515400000,OK
